https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1618444800000,2021-04-15 00:00:00,ETH/USDT,2432.59000000,2543.47000000,2400.00000000,2514.04000000,681950.96645000,1680063463.60112070,1462768
1618358400000,2021-04-14 00:00:00,ETH/USDT,2299.19000000,2447.29000000,2281.33000000,2432.60000000,972931.60866000,2294753430.62740700,1554097
1618272000000,2021-04-13 00:00:00,ETH/USDT,2137.86000000,2318.00000000,2135.53000000,2299.19000000,782608.62090000,1745821661.49661390,1288668
1618185600000,2021-04-12 00:00:00,ETH/USDT,2151.42000000,2203.46000000,2102.00000000,2137.69000000,579093.35694000,1244982956.77003100,914567
1618099200000,2021-04-11 00:00:00,ETH/USDT,2133.49000000,2165.02000000,2113.40000000,2151.36000000,392265.50773000,839653140.94059150,830771
1618012800000,2021-04-10 00:00:00,ETH/USDT,2067.19000000,2200.00000000,2058.00000000,2133.49000000,655458.20894000,1405364881.85831330,1175161
1617926400000,2021-04-09 00:00:00,ETH/USDT,2080.39000000,2100.00000000,2047.57000000,2066.87000000,426387.43790000,885134116.02290660,645172
1617840000000,2021-04-08 00:00:00,ETH/USDT,1963.46000000,2084.61000000,1947.35000000,2080.46000000,501355.99800000,1015796231.01188220,911403
1617753600000,2021-04-07 00:00:00,ETH/USDT,2112.22000000,2129.01000000,1930.01000000,1963.47000000,892984.90422000,1798606574.05355710,1229155
1617667200000,2021-04-06 00:00:00,ETH/USDT,2107.43000000,2151.00000000,2044.65000000,2112.21000000,673386.05575000,1420490813.03905580,1106761
1617580800000,2021-04-05 00:00:00,ETH/USDT,2075.70000000,2130.64000000,2002.15000000,2107.38000000,684923.61494000,1419084945.81378910,947978
1617494400000,2021-04-04 00:00:00,ETH/USDT,2008.59000000,2091.83000000,1975.24000000,2075.69000000,514345.76554000,1050448906.44240220,818926
1617408000000,2021-04-03 00:00:00,ETH/USDT,2133.69000000,2138.12000000,1996.30000000,2008.52000000,770176.32192000,1601516390.59711510,1107620
1617321600000,2021-04-02 00:00:00,ETH/USDT,1968.05000000,2146.00000000,1948.48000000,2133.69000000,846197.93215000,1719752062.51672840,1218698
1617235200000,2021-04-01 00:00:00,ETH/USDT,1919.37000000,1984.77000000,1885.02000000,1968.05000000,741585.07266000,1438751530.78722940,994836
1617148800000,2021-03-31 00:00:00,ETH/USDT,1840.41000000,1947.29000000,1768.15000000,1919.37000000,746995.85910000,1387448329.86186770,1040362
1617062400000,2021-03-30 00:00:00,ETH/USDT,1816.76000000,1859.13000000,1786.30000000,1840.46000000,568842.00526000,1039262033.38675560,856093
1616976000000,2021-03-29 00:00:00,ETH/USDT,1687.16000000,1841.00000000,1677.85000000,1816.74000000,647724.46387000,1148231088.81158730,846836
1616889600000,2021-03-28 00:00:00,ETH/USDT,1712.52000000,1725.66000000,1661.40000000,1687.01000000,348895.51314000,592836644.59933920,512231
1616803200000,2021-03-27 00:00:00,ETH/USDT,1698.84000000,1732.67000000,1666.41000000,1712.63000000,443845.49957000,753555521.64465620,516929
1616716800000,2021-03-26 00:00:00,ETH/USDT,1585.83000000,1699.93000000,1585.79000000,1698.84000000,515470.92907000,844707873.91477140,650812
1616630400000,2021-03-25 00:00:00,ETH/USDT,1581.88000000,1622.00000000,1549.40000000,1585.74000000,701697.00258000,1115502879.62915160,778215
1616544000000,2021-03-24 00:00:00,ETH/USDT,1668.20000000,1740.86000000,1536.92000000,1581.84000000,753834.52393000,1251031751.15638120,994542
1616457600000,2021-03-23 00:00:00,ETH/USDT,1681.17000000,1721.17000000,1650.00000000,1668.08000000,577213.99589000,975522491.06404260,654415
1616371200000,2021-03-22 00:00:00,ETH/USDT,1783.23000000,1807.51000000,1655.15000000,1680.97000000,582727.49081000,1019780398.78218940,879976
1616284800000,2021-03-21 00:00:00,ETH/USDT,1806.57000000,1817.16000000,1747.00000000,1782.98000000,465953.98749000,830951276.51307660,748800
1616198400000,2021-03-20 00:00:00,ETH/USDT,1809.01000000,1868.83000000,1800.86000000,1806.10000000,451556.10639000,828404987.65277420,743672
1616112000000,2021-03-19 00:00:00,ETH/USDT,1775.92000000,1840.61000000,1733.47000000,1809.10000000,500258.42875000,901801564.20232610,703977
1616025600000,2021-03-18 00:00:00,ETH/USDT,1823.58000000,1850.00000000,1759.04000000,1776.08000000,603721.61056000,1092346826.55369030,783517
1615939200000,2021-03-17 00:00:00,ETH/USDT,1805.01000000,1838.88000000,1741.18000000,1823.58000000,658349.44843000,1177718486.96461370,872416
1615852800000,2021-03-16 00:00:00,ETH/USDT,1793.99000000,1819.50000000,1711.68000000,1805.12000000,764993.40147000,1360127229.78991600,987906
1615766400000,2021-03-15 00:00:00,ETH/USDT,1848.10000000,1891.76000000,1730.00000000,1793.48000000,1025326.79658000,1842608872.76306020,1496415
1615680000000,2021-03-14 00:00:00,ETH/USDT,1922.35000000,1933.10000000,1836.00000000,1848.10000000,637963.63627000,1200354205.60335700,963564
1615593600000,2021-03-13 00:00:00,ETH/USDT,1766.13000000,1944.30000000,1727.75000000,1922.35000000,926283.22642000,1718553131.96147330,1265904
1615507200000,2021-03-12 00:00:00,ETH/USDT,1825.78000000,1841.88000000,1719.72000000,1766.10000000,869564.63610000,1542873062.42010170,1126153
1615420800000,2021-03-11 00:00:00,ETH/USDT,1795.28000000,1846.70000000,1725.00000000,1825.78000000,909011.49610000,1627027458.08879630,1023958
1615334400000,2021-03-10 00:00:00,ETH/USDT,1870.50000000,1877.69000000,1757.00000000,1795.12000000,937230.62831000,1706230875.26766380,1098051
1615248000000,2021-03-09 00:00:00,ETH/USDT,1833.22000000,1870.77000000,1798.20000000,1870.51000000,857229.47855000,1570286249.45090050,1196670
1615161600000,2021-03-08 00:00:00,ETH/USDT,1726.46000000,1843.59000000,1664.96000000,1833.18000000,1149711.39987000,1995142128.64813450,1407402
1615075200000,2021-03-07 00:00:00,ETH/USDT,1650.68000000,1734.16000000,1630.35000000,1726.16000000,848470.78136000,1414988218.19354000,1166072
1614988800000,2021-03-06 00:00:00,ETH/USDT,1528.08000000,1671.58000000,1513.03000000,1650.35000000,1013300.93928000,1611851701.82401670,1188531
1614902400000,2021-03-05 00:00:00,ETH/USDT,1539.22000000,1548.96000000,1441.66000000,1528.31000000,910786.28976000,1355798089.27269910,1000913
1614816000000,2021-03-04 00:00:00,ETH/USDT,1567.68000000,1624.87000000,1506.36000000,1539.23000000,946365.67088000,1476463517.98648710,1125118
