https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1623283200000,2021-06-10 00:00:00,BTC/USDT,37388.05000000,38491.00000000,35782.00000000,36675.72000000,109527.28494300,4062957162.36429993,2231430
1623196800000,2021-06-09 00:00:00,BTC/USDT,33380.80000000,37534.79000000,32396.82000000,37388.05000000,136607.59751700,4794741674.43882304,2601479
1623110400000,2021-06-08 00:00:00,BTC/USDT,33556.96000000,34068.01000000,31000.00000000,33380.81000000,123251.18903700,4030784324.60968405,2074885
1623024000000,2021-06-07 00:00:00,BTC/USDT,35796.31000000,36900.00000000,33300.00000000,33552.79000000,77574.95257300,2755673601.71391388,1532260
1622937600000,2021-06-06 00:00:00,BTC/USDT,35516.07000000,36480.00000000,35222.00000000,35796.31000000,47650.20663700,1711857075.04716966,993430
1622851200000,2021-06-05 00:00:00,BTC/USDT,36829.15000000,37925.00000000,34800.00000000,35513.20000000,70459.62149000,2560547116.83640575,1463754
1622764800000,2021-06-04 00:00:00,BTC/USDT,39246.78000000,39289.07000000,35555.15000000,36829.00000000,91317.79924500,3379399754.93052259,1926311
1622678400000,2021-06-03 00:00:00,BTC/USDT,37568.68000000,39476.00000000,37170.00000000,39246.79000000,75889.10601100,2930945325.70920706,1949658
1622592000000,2021-06-02 00:00:00,BTC/USDT,36694.85000000,38225.00000000,35920.00000000,37568.68000000,67587.37249500,2523462575.68843765,1530915
1622505600000,2021-06-01 00:00:00,BTC/USDT,37253.82000000,37894.81000000,35666.00000000,36693.09000000,81234.66377000,2973928300.37558711,1760417
1622419200000,2021-05-31 00:00:00,BTC/USDT,35641.26000000,37499.00000000,34153.84000000,37253.81000000,94160.73528900,3406047734.83112852,1896359
1622332800000,2021-05-30 00:00:00,BTC/USDT,34605.15000000,36488.00000000,33379.00000000,35641.27000000,73535.38696700,2601994948.14824216,1559892
1622246400000,2021-05-29 00:00:00,BTC/USDT,35661.79000000,37338.58000000,33632.76000000,34605.15000000,112663.09268900,3949843335.32259506,2169643
1622160000000,2021-05-28 00:00:00,BTC/USDT,38529.99000000,38877.83000000,34684.00000000,35663.49000000,135377.62972000,4926260941.93361343,2659178
1622073600000,2021-05-27 00:00:00,BTC/USDT,39241.92000000,40411.14000000,37134.27000000,38529.98000000,86547.15879400,3361413526.05354346,2102182
1621987200000,2021-05-26 00:00:00,BTC/USDT,38324.72000000,40841.00000000,37800.44000000,39241.91000000,104780.77339600,4113717505.26355481,2432319
1621900800000,2021-05-25 00:00:00,BTC/USDT,38810.99000000,39791.77000000,36419.62000000,38324.72000000,111996.22840400,4253519579.37872882,2508310
1621814400000,2021-05-24 00:00:00,BTC/USDT,34681.44000000,39920.00000000,34031.00000000,38796.29000000,161630.89397100,5996773032.15134490,3510578
1621728000000,2021-05-23 00:00:00,BTC/USDT,37458.51000000,38270.64000000,31111.01000000,34655.25000000,217136.04659300,7431242463.20384205,4082004
1621641600000,2021-05-22 00:00:00,BTC/USDT,37263.35000000,38829.00000000,35200.62000000,37449.73000000,126542.24368900,4730567647.67440109,2716691
1621555200000,2021-05-21 00:00:00,BTC/USDT,40525.39000000,42200.00000000,33488.00000000,37252.01000000,202100.88825800,7713346610.27412883,3993336
1621468800000,2021-05-20 00:00:00,BTC/USDT,36671.23000000,42451.67000000,34850.00000000,40526.64000000,203017.59692300,8019897067.17621988,4269898
1621382400000,2021-05-19 00:00:00,BTC/USDT,42849.78000000,43584.90000000,30000.00000000,36690.09000000,354347.24316100,13477694934.87179764,6331062
1621296000000,2021-05-18 00:00:00,BTC/USDT,43538.02000000,45799.29000000,42250.02000000,42849.78000000,116979.86078400,5146670282.54790183,2561165
1621209600000,2021-05-17 00:00:00,BTC/USDT,46426.83000000,46686.00000000,42001.00000000,43538.04000000,166657.17273600,7346755531.93385754,3216821
1621123200000,2021-05-16 00:00:00,BTC/USDT,46762.99000000,49795.89000000,43825.39000000,46431.50000000,114269.81277500,5367497608.11590065,2661295
1621036800000,2021-05-15 00:00:00,BTC/USDT,49844.16000000,50700.00000000,46555.00000000,46762.99000000,89437.44935900,4350775846.51735788,2286791
1620950400000,2021-05-14 00:00:00,BTC/USDT,49671.92000000,51483.00000000,48799.75000000,49841.45000000,80082.20430600,4015904915.40791062,2095860
1620864000000,2021-05-13 00:00:00,BTC/USDT,49537.15000000,51367.19000000,46000.00000000,49670.97000000,147332.00212100,7303694688.60140086,3570506
1620777600000,2021-05-12 00:00:00,BTC/USDT,56670.02000000,58000.01000000,48600.00000000,49631.32000000,99842.78983600,5476115093.11046791,2676826
1620691200000,2021-05-11 00:00:00,BTC/USDT,55816.14000000,56862.43000000,54370.00000000,56670.02000000,64329.54055000,3583030654.76301904,1911480
1620604800000,2021-05-10 00:00:00,BTC/USDT,58240.83000000,59500.00000000,53400.00000000,55816.14000000,89586.34925000,5131782639.96613736,2575419
1620518400000,2021-05-09 00:00:00,BTC/USDT,58866.53000000,59300.00000000,56235.66000000,58240.84000000,69806.11991000,4043552701.50659866,2170139
1620432000000,2021-05-08 00:00:00,BTC/USDT,57315.49000000,59500.00000000,56900.00000000,58862.05000000,69709.90602800,4079553831.98806437,2311378
1620345600000,2021-05-07 00:00:00,BTC/USDT,56393.68000000,58650.00000000,55241.63000000,57314.75000000,74542.74782900,4239374487.47477234,2361692
1620259200000,2021-05-06 00:00:00,BTC/USDT,57436.11000000,58360.00000000,55200.00000000,56393.68000000,70181.67190800,3992289527.73709740,2459881
1620172800000,2021-05-05 00:00:00,BTC/USDT,53205.05000000,58069.82000000,52900.00000000,57436.11000000,77263.92343900,4327994296.15143644,2378119
1620086400000,2021-05-04 00:00:00,BTC/USDT,57169.39000000,57200.00000000,53046.69000000,53200.01000000,85324.62590300,4705402064.30097516,2492629
1620000000000,2021-05-03 00:00:00,BTC/USDT,56578.21000000,58981.44000000,56435.00000000,57169.39000000,57649.93128600,3337604542.62738077,2102128
1619913600000,2021-05-02 00:00:00,BTC/USDT,57797.35000000,57911.02000000,56035.25000000,56578.21000000,36812.87886300,2089763230.43962683,1371638
1619827200000,2021-05-01 00:00:00,BTC/USDT,57697.25000000,58458.07000000,56956.14000000,57800.37000000,42600.35183600,2460342954.84252080,1743013
1619740800000,2021-04-30 00:00:00,BTC/USDT,53555.00000000,57963.00000000,53013.01000000,57694.27000000,68578.91004500,3808187372.73937955,2267648
1619654400000,2021-04-29 00:00:00,BTC/USDT,54846.23000000,55195.84000000,52330.94000000,53555.00000000,52486.01945500,2823220335.47604128,1763676
1619568000000,2021-04-28 00:00:00,BTC/USDT,55011.97000000,56428.00000000,53813.16000000,54846.22000000,55130.45901500,3020242787.50667770,1830042
1619481600000,2021-04-27 00:00:00,BTC/USDT,54001.38000000,55460.00000000,53222.00000000,55011.97000000,54064.03467500,2949719328.36698972,1568666
1619395200000,2021-04-26 00:00:00,BTC/USDT,49066.76000000,54356.62000000,48753.44000000,54001.39000000,86310.80212400,4555688503.39738704,2174544
1619308800000,2021-04-25 00:00:00,BTC/USDT,50047.84000000,50567.91000000,46930.00000000,49066.77000000,58255.64500400,2867858315.18731958,1475479
1619222400000,2021-04-24 00:00:00,BTC/USDT,51110.56000000,51166.22000000,48657.14000000,50047.84000000,55361.51257300,2762081002.87866301,1164985
1619136000000,2021-04-23 00:00:00,BTC/USDT,51690.95000000,52131.85000000,47500.00000000,51125.14000000,132230.78071900,6571097317.46791836,2888237
1619049600000,2021-04-22 00:00:00,BTC/USDT,53787.62000000,55521.48000000,50500.00000000,51690.96000000,104656.63133700,5594983857.31809224,2744621
1618963200000,2021-04-21 00:00:00,BTC/USDT,56425.00000000,56757.91000000,53536.02000000,53787.63000000,66984.75690900,3704549578.69730319,2134946
1618876800000,2021-04-20 00:00:00,BTC/USDT,55633.14000000,57076.24000000,53329.96000000,56425.00000000,72744.48215100,4037701391.61952629,2148820
1618790400000,2021-04-19 00:00:00,BTC/USDT,56150.01000000,57526.81000000,54221.58000000,55633.14000000,78229.04226700,4398619580.64714330,2390527
1618704000000,2021-04-18 00:00:00,BTC/USDT,60006.67000000,60499.00000000,50931.30000000,56150.01000000,124882.13182400,6949379727.42915424,3444089
1618617600000,2021-04-17 00:00:00,BTC/USDT,61334.81000000,62506.05000000,59580.91000000,60006.66000000,58912.25612800,3605701810.67504697,2268816
1618531200000,2021-04-16 00:00:00,BTC/USDT,63158.74000000,63520.61000000,60000.00000000,61334.80000000,91764.13988400,5647292669.61549332,2639940
1618444800000,2021-04-15 00:00:00,BTC/USDT,62959.53000000,63800.00000000,62020.00000000,63159.98000000,51649.70034000,3248931738.29318204,1938028
1618358400000,2021-04-14 00:00:00,BTC/USDT,63575.01000000,64854.00000000,61301.00000000,62959.53000000,82616.34399300,5239081228.15697651,2645625
1618272000000,2021-04-13 00:00:00,BTC/USDT,59860.01000000,63777.77000000,59805.15000000,63575.00000000,82848.68874600,5154877375.38961765,2703735
1618185600000,2021-04-12 00:00:00,BTC/USDT,59998.80000000,61300.00000000,59350.59000000,59860.00000000,56375.03711700,3393042867.87146672,1806298
